Турнир;Команда;Процент побед
ЧР 2017;2. Рабочее название (58);20.0
ЧР 2017;1. Борский корабел (59);46.7
ЧР 2017;3. Команда Губанова (57);26.7
ЧР 2017;4. Сборная Кирибати (51);6.7
ЧР 2017;5. Мираж (50);20.0
ЧР 2017;9. ТПРУНЯ (47);6.7
ЧР 2016;3. Мираж (56);26.7
ЧР 2016;2. Рабочее название (57);20.0
ЧР 2016;1. Борский корабел (60);46.7
ЧР 2016;6. Афина (51);6.7
ЧР 2016;5. Ксеп (53);6.7
ЧР 2016;4. Эрудиты (55);13.3
ЧР 2016;11. Eclipse (46);6.7
ЧР 2015;3. Рабочее название (57);26.7
ЧР 2015;1. Команда Губанова (59);40.0
ЧР 2015;4. Ла Скала (55);20.0
ЧР 2015;7. Сборная Кирибати (50);6.7
ЧР 2015;2. Ксеп (58);40.0
ЧР 2014;2. Команда Губанова (71);47.6
ЧР 2014;1. Tenzor Consulting (74);57.1
ЧР 2014;9. Eclipse (55);4.8
ЧР 2014;4. Мираж (66);4.8
ЧР 2014;6. Сборная Кирибати (63);4.8
ЧР 2013;7. Сборная Кирибати (63);9.5
ЧР 2013;1. Tenzor Consulting (75);42.9
ЧР 2013;2. Команда Губанова (72);28.6
ЧР 2013;3. Афина (72);28.6
ЧР 2013;5. ЛКИ (65);9.5
ЧР 2013;6. Ла Скала (64);4.8
ЧР 2012;1. Команда Губанова (64);40.0
ЧР 2012;6. Дилемма United (56);13.3
ЧР 2012;2. Сборная Кирибати (62);33.3
ЧР 2012;3. Ксеп (61);33.3
ЧР 2012;4. ЛКИ (59);6.7
ЧР 2012;10. Афина (52);6.7
ЧР 2012;7. Мираж (54);6.7
ЧР 2012;7. Эрудиты (54);6.7
Отбор ЧМ 2016;1. Борский корабел (46);50.0
Отбор ЧМ 2016;1. Ксеп (46);50.0
Отбор ЧМ 2015;2. Борский корабел (46);50.0
Отбор ЧМ 2015;1. Рабочее название (47);66.7
Отбор ЧМ 2014;2. Команда Касумова (35);16.7
Отбор ЧМ 2014;1. Афина (39);66.7
Отбор ЧМ 2014;3. Ла Скала (34);16.7
Отбор ЧМ 2013;1. ЛКИ (45);50.0
Отбор ЧМ 2013;4. Мираж (42);16.7
Отбор ЧМ 2013;2. Афина (43);16.7
Отбор ЧМ 2013;4. Братья (42);16.7
Отбор ЧМ 2013;2. Ксеп (43);16.7
Финал ЧМ 2013;1. ЛКИ (41);100.0
Финал ЧМ 2013;6. Минус один (28);16.7
Отбор ЧМ 2012;2. Ла Скала (39);33.3
Отбор ЧМ 2012;11. МИД-2 (31);16.7
Отбор ЧМ 2012;1. Команда Губанова (45);83.3
